                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.57404,                0.32294,                0.86649,                0.99943,                      1,                  0.995,                0.76547,                0.89345,                0.34258,                0.94535,              0.0002774,              0.0002774,              0.0002774
                     90,                0.57115,                0.32212,                0.86424,                 0.9993,                      1,                  0.995,                0.77606,                0.86856,                0.34311,                0.93894,              0.0002576,              0.0002576,              0.0002576
                     91,                0.59763,                0.36418,                0.85736,                 0.9991,                      1,                  0.995,                0.76177,                0.90489,                 0.3491,                0.94358,              0.0002378,              0.0002378,              0.0002378
                     92,                0.55875,                 0.3379,                0.84623,                0.99876,                      1,                  0.995,                0.77217,                0.87722,                0.34609,                0.93944,               0.000218,               0.000218,               0.000218
                     93,                0.54144,                 0.3146,                0.83685,                0.99925,                      1,                  0.995,                0.76914,                0.87546,                0.34392,                0.93569,              0.0001982,              0.0001982,              0.0001982
                     94,                0.53207,                0.31039,                0.84001,                0.99948,                      1,                  0.995,                0.76851,                0.87083,                0.34523,                0.93606,              0.0001784,              0.0001784,              0.0001784
                     95,                 0.5177,                0.30132,                0.83598,                0.99955,                      1,                  0.995,                0.77288,                0.86417,                0.34378,                0.93687,              0.0001586,              0.0001586,              0.0001586
                     96,                0.50133,                0.30305,                0.83421,                0.99955,                      1,                  0.995,                 0.7713,                0.88179,                0.34464,                0.93831,              0.0001388,              0.0001388,              0.0001388
                     97,                0.49446,                0.29219,                 0.8321,                0.99896,                      1,                  0.995,                0.77507,                0.85945,                0.33392,                0.93664,               0.000119,               0.000119,               0.000119
                     98,                0.48979,                0.28671,                0.82874,                 0.9988,                      1,                  0.995,                0.77979,                 0.8639,                0.33332,                0.93677,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.48161,                0.28509,                0.83038,                0.99902,                      1,                  0.995,                 0.7815,                0.85724,                0.32848,                0.93392,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.48419,                0.28277,                0.83034,                 0.9992,                      1,                  0.995,                0.78367,                0.85541,                0.32587,                0.93275,               5.96e-05,               5.96e-05,               5.96e-05
